concern_text,label
I would like to report that i have a problem that requires school attention,IMCO Office
I need assistance with student ID processing This is urgent.,Internet Laboratory
I need to update my academic records Please help me.,Registrar Office
I cannot connect to the internet,MIS Office
I need help with my student records I hope you can help.,Registrar Office
"Hello, i need help with room maintenance",Maintenance Office
I need help with maintenance reporting Thank you.,Maintenance Office
I want to make payment for school requirements I need assistance urgently.,Cashier Office
I want to request a transcript,Registrar Office
"Good day, i need assistance with school problem resolution",IMCO Office
I want to report an issue that needs school help,IMCO Office
I need assistance with ID card creation This is urgent.,Internet Laboratory
"Hello, i want to use a computer for my work",Internet Laboratory
I would like to report that the wifi network needs fixing,MIS Office
The internet connectivity is poor Please help me.,MIS Office
I want to make payment for requirements,Cashier Office
I need help with enrollment records I need assistance urgently.,Registrar Office
I cannot connect to the internet I need assistance urgently.,MIS Office
I want to use the internet laboratory This is urgent.,Internet Laboratory
"Hello, i need assistance with network troubleshooting",MIS Office
"Hello, i need to file a petition for subject addition",Registrar Office
I have an issue that needs to be addressed I need assistance urgently.,IMCO Office
I need to pay for my registration This is affecting my studies.,Cashier Office
I need help with record keeping and management I hope you can help.,Registrar Office
"Good day, i need help troubleshooting network problems",MIS Office
I need assistance with maintenance work Thank you.,Maintenance Office
I cannot connect to the internet This is urgent.,MIS Office
I need assistance with school-related concerns Please help me.,IMCO Office
I need help with grade record keeping I need assistance urgently.,Registrar Office
I need to use the internet laboratory computers Thank you.,Internet Laboratory
I need to request my official transcript This is affecting my studies.,Registrar Office
I need to file a petition for grade reconsideration This is affecting my studies.,Registrar Office
I want to inquire about available services,ISSC Office
"Hello, i want to report a maintenance issue",Maintenance Office
"Hello, i want to report a concern to be disseminated",IMCO Office
I need to request for student ID processing This is urgent.,Internet Laboratory
The network maintenance should be handled Please help me.,MIS Office
I have a concern that needs school attention This is affecting my studies.,IMCO Office
"Hello, i need help reporting a repair needed",Maintenance Office
The network maintenance is affecting my work I hope you can help.,MIS Office
I would like to report that i want to request my academic records,Registrar Office
I would like to report that i want to know the payment schedule,Cashier Office
"Good day, i need to use a computer for my assignment",Internet Laboratory
I want to report a problem in the school I need assistance urgently.,IMCO Office
I need help with school problem management I need assistance urgently.,IMCO Office
I need to request for ID card making,Internet Laboratory
The room requires repair Thank you.,Maintenance Office
I need help with payment documentation,Cashier Office
I need help with lab computer access and usage This is affecting my studies.,Internet Laboratory
I want to request my student records Thank you.,Registrar Office
I want to request repair service I need assistance urgently.,Maintenance Office
"Good day, i cannot connect to the internet",MIS Office
The room needs to be maintained,Maintenance Office
The room needs maintenance I hope you can help.,Maintenance Office
"Good day, i need help with student id processing",Internet Laboratory
I need help with room fixing Please help me.,Maintenance Office
I want to inquire about available services Please help me.,ISSC Office
I would like to report that i cannot access online services due to network failure,MIS Office
I want to report a concern to the school,IMCO Office
I want to pay my school requirements I hope you can help.,Cashier Office
I want to use the laboratory for computer work I need assistance urgently.,Internet Laboratory
I need assistance with school problem reporting Please help me.,IMCO Office
I need help with fee computation I hope you can help.,Cashier Office
I want to make payment for my requirements This is affecting my studies.,Cashier Office
I need to file a petition for grade change This is urgent.,Registrar Office
I need help with school concern reporting This is affecting my studies.,IMCO Office
I want to report a problem affecting students I need assistance urgently.,IMCO Office
I need help accessing computers in the lab This is affecting my studies.,Internet Laboratory
I want to inquire about student assistance This is affecting my studies.,ISSC Office
The internet connection is very slow This is affecting my studies.,MIS Office
The network maintenance needs to be done I hope you can help.,MIS Office
I want to request my student records This is affecting my studies.,Registrar Office
I need to update my student information I hope you can help.,Registrar Office
I need help with network authentication Thank you.,MIS Office
I need help with payment requirements Please help me.,Cashier Office
I want to use the laboratory for my computer needs I need assistance urgently.,Internet Laboratory
I need help with school problem management This is urgent.,IMCO Office
"Good day, the classroom needs to be fixed",Maintenance Office
I want to report a school-related problem Please help me.,IMCO Office
I need help with room maintenance I hope you can help.,Maintenance Office
I need help with computer lab access This is affecting my studies.,Internet Laboratory
I need to report a repair issue I hope you can help.,Maintenance Office
I want to request maintenance service Thank you.,Maintenance Office
I want to request my enrollment records Please help me.,Registrar Office
I need assistance with student inquiries I hope you can help.,ISSC Office
"Good day, i want to report a repair issue in room",Maintenance Office
I need assistance with network setup This is affecting my studies.,MIS Office
I want to report a room that needs repair Please help me.,Maintenance Office
I need help with internet lab computer usage I hope you can help.,Internet Laboratory
I cannot access the internet network I hope you can help.,MIS Office
I need to file a petition for record update This is urgent.,Registrar Office
I want to report a problem affecting students I hope you can help.,IMCO Office
"Good day, i need help with internet configuration",MIS Office
"Good day, i need assistance with student service processing",ISSC Office
I need help with internet laboratory computer usage Please help me.,Internet Laboratory
I need to file a petition for course change Thank you.,Registrar Office
I need help with laboratory computer reservation,Internet Laboratory
I want to report maintenance required I need assistance urgently.,Maintenance Office
The WiFi network needs maintenance,MIS Office
The classroom needs to be fixed Please help me.,Maintenance Office
"Good day, i need help with payment methods",Cashier Office
The WiFi network is not working Please help me.,MIS Office
I need help with maintenance reporting I hope you can help.,Maintenance Office
I want to check my academic standing Please help me.,Registrar Office
I would like to report that i need help with payment confirmation,Cashier Office
"Good day, i have an issue that needs school assistance",IMCO Office
"Good day, i need help with network authentication",MIS Office
I need help with payment requirements,Cashier Office
"Good day, i cannot connect to the network properly",MIS Office
The network connection is not available This is urgent.,MIS Office
I need assistance with network setup This is affecting my studies.,MIS Office
I cannot access network resources Thank you.,MIS Office
I need help with school problem addressing I need assistance urgently.,IMCO Office
I need help addressing a school problem I need assistance urgently.,IMCO Office
I need help with school problem management Thank you.,IMCO Office
I want to check my grades I hope you can help.,Registrar Office
I want to request a copy of my grades I hope you can help.,Registrar Office
I need help with fee payment Please help me.,Cashier Office
"Good day, the network connection keeps dropping",MIS Office
I want to use the computers in the lab I need assistance urgently.,Internet Laboratory
"Good day, i need to report a room problem",Maintenance Office
I would like to report that i cannot access online resources due to network issues,MIS Office
I need help with subject loading process I need assistance urgently.,Registrar Office
I would like to report that i need help troubleshooting network problems,MIS Office
"Good day, i cannot access online resources due to network issues",MIS Office
I need help with my student records This is urgent.,Registrar Office
I need help with repair request Thank you.,Maintenance Office
"Good day, i want to request student service help",ISSC Office
I need help making my student ID Thank you.,Internet Laboratory
I need to pay my school fees Please help me.,Cashier Office
I would like to report that i need help with internet laboratory computer usage,Internet Laboratory
I would like to report that i cannot access online services due to network failure,MIS Office
I need to file a petition for record update,Registrar Office
I would like to report that i want to check my enrollment status,Registrar Office
I would like to report that i need help with student information update,Registrar Office
I need help with payment documentation This is urgent.,Cashier Office
"Good day, i need help with school concern management",IMCO Office
The internet connection is unstable I need assistance urgently.,MIS Office
I need assistance with student ID making This is urgent.,Internet Laboratory
The classroom needs repair,Maintenance Office
I would like to report that i need to update my enrollment information,Registrar Office
The room needs to be repaired Thank you.,Maintenance Office
I want to verify my student records I need assistance urgently.,Registrar Office
The room needs to be repaired I need assistance urgently.,Maintenance Office
I want to check my transcript status Please help me.,Registrar Office
I want to request repair service Thank you.,Maintenance Office
"Hello, i need to file a petition for subject addition",Registrar Office
I need assistance with internet connection I need assistance urgently.,MIS Office
I need help with school concern reporting Thank you.,IMCO Office
I need help with school concern reporting This is urgent.,IMCO Office
"Good day, i want to request my student records",Registrar Office
"Hello, i need help troubleshooting network problems",MIS Office
I would like to report that the network maintenance should be handled,MIS Office
The internet connection requires maintenance I need assistance urgently.,MIS Office
I need help with maintenance service request I need assistance urgently.,Maintenance Office
I want to verify my grades I need assistance urgently.,Registrar Office
"Good day, i need help with school concern reporting",IMCO Office
I need help with school concern management Thank you.,IMCO Office
I need to pay my outstanding balance,Cashier Office
I need help accessing computers in the lab Thank you.,Internet Laboratory
I need assistance with repair services I hope you can help.,Maintenance Office
"Good day, i want to process payment for fees",Cashier Office
I want to use the computers in the lab Thank you.,Internet Laboratory
I have a concern that needs school attention Please help me.,IMCO Office
I want to request my student transcript This is affecting my studies.,Registrar Office
"Good day, i want to request a transcript",Registrar Office
I want to process my payment I hope you can help.,Cashier Office
I want to know about ISSC office services,ISSC Office
I want to use the laboratory for my computer needs Please help me.,Internet Laboratory
I need help with school problem management,IMCO Office
The WiFi connection is not stable,MIS Office
The classroom needs to be fixed I hope you can help.,Maintenance Office
I need to pay for my enrollment I need assistance urgently.,Cashier Office
I want to use computers in the laboratory This is urgent.,Internet Laboratory
I need to pay my required fees Please help me.,Cashier Office
I need help with maintenance service request This is urgent.,Maintenance Office
I need to request for student ID Please help me.,Internet Laboratory
"Good day, i have a problem that needs dissemination",IMCO Office
"Hello, i need help with school problem handling",IMCO Office
I need assistance with student service inquiry This is affecting my studies.,ISSC Office
I need to pay for my enrollment fees Please help me.,Cashier Office
I need help reporting a repair needed This is affecting my studies.,Maintenance Office
I would like to report that i need assistance with id making process,Internet Laboratory
I need help with computer laboratory access Thank you.,Internet Laboratory
"Good day, i want to use the lab for computer work",Internet Laboratory
I would like to report that i need help with a school issue,IMCO Office
I want to request computer access in the lab This is urgent.,Internet Laboratory
I want to make a payment Please help me.,Cashier Office
I would like to report that i want to pay my school requirements,Cashier Office
"Hello, i need help with student record verification",Registrar Office
I want to inquire about student services I hope you can help.,ISSC Office
I want to report maintenance required I hope you can help.,Maintenance Office
I need to pay for my school requirements Thank you.,Cashier Office
I need to pay my outstanding fees I need assistance urgently.,Cashier Office
I want to report a problem that affects the school,IMCO Office
I want to report a concern to the school,IMCO Office
I have a problem that needs to be disseminated Please help me.,IMCO Office
I want to process my fee payment Thank you.,Cashier Office
I need help with student ID processing,Internet Laboratory
I need help with laboratory computer reservation This is urgent.,Internet Laboratory
"Hello, i need assistance with room maintenance",Maintenance Office
"Good day, i want to make payment for my requirements",Cashier Office
I need to use a computer in the laboratory I hope you can help.,Internet Laboratory
"Hello, i need assistance with school-related concerns",IMCO Office
I need help with internet laboratory computer usage,Internet Laboratory
I need to request for student ID I need assistance urgently.,Internet Laboratory
I would like to report that i want to request student services,ISSC Office
I want to make payment for my requirements This is urgent.,Cashier Office
I cannot access the internet network This is affecting my studies.,MIS Office
I have a problem that needs to be reported This is urgent.,IMCO Office
I want to report a problem affecting students I hope you can help.,IMCO Office
I want to request a transcript of records I hope you can help.,Registrar Office
"Good day, the wifi network needs fixing",MIS Office
I would like to report that i need assistance with room fixing,Maintenance Office
I need to file a petition for record correction Thank you.,Registrar Office
"Good day, i need to file a petition for grade reconsideration",Registrar Office
I need help with room maintenance Thank you.,Maintenance Office
I would like to report that i want to report a concern to be disseminated,IMCO Office
I want to report a repair issue in room Thank you.,Maintenance Office
I need to file a petition for subject addition Please help me.,Registrar Office
I would like to report that i need to report a room problem,Maintenance Office
I want to use the computers in the lab I hope you can help.,Internet Laboratory
I need to report a room that needs repair This is affecting my studies.,Maintenance Office
I would like to report that i want to report a problem in the school,IMCO Office
I need help with student service inquiry I need assistance urgently.,ISSC Office
I need help with subject loading process Please help me.,Registrar Office
The classroom needs to be fixed I need assistance urgently.,Maintenance Office
I cannot connect my device to the network I need assistance urgently.,MIS Office
"Hello, i need to report a room that needs repair",Maintenance Office
I need help with my student records This is affecting my studies.,Registrar Office
I want to request my academic records Please help me.,Registrar Office
I want to report a problem that affects the school Please help me.,IMCO Office
I would like to report that i need to use a computer for my project,Internet Laboratory
"Hello, i need help with payment clearance",Cashier Office
The internet speed is too slow,MIS Office
I want to process my fee payment This is affecting my studies.,Cashier Office
I need to request my official records I hope you can help.,Registrar Office
I want to pay my school requirements Please help me.,Cashier Office
I cannot connect to the school internet I need assistance urgently.,MIS Office
"Hello, i need help with internet connectivity issues",MIS Office
I need help with payment confirmation This is affecting my studies.,Cashier Office
"Hello, i cannot connect to the network properly",MIS Office
I need assistance with repair request This is affecting my studies.,Maintenance Office
I want to request a transcript of records This is urgent.,Registrar Office
I need to report a maintenance concern This is urgent.,Maintenance Office
I want to request my academic records Thank you.,Registrar Office
I need to file a petition for grade change Thank you.,Registrar Office
The WiFi signal is weak in my location,MIS Office
I need to request room maintenance service Thank you.,Maintenance Office
I need to request for student ID card Thank you.,Internet Laboratory
"Hello, i need help with academic record management",Registrar Office
The room needs to be maintained This is urgent.,Maintenance Office
I need to request my official transcript This is affecting my studies.,Registrar Office
I need help with room maintenance request I hope you can help.,Maintenance Office
I need help with lab computer access and usage Please help me.,Internet Laboratory
I cannot access online resources due to network issues,MIS Office
I need help with network connection This is urgent.,MIS Office
"Good day, i want to make a payment",Cashier Office
The network maintenance is required Thank you.,MIS Office
I need help with school concern resolution Thank you.,IMCO Office
I want to know about ISSC office services,ISSC Office
I need help with room repair service I need assistance urgently.,Maintenance Office
"Good day, i need help with issc office assistance",ISSC Office
I would like to report that i want to request a transcript,Registrar Office
I need help with school issue reporting Thank you.,IMCO Office
I need help with student record keeping This is urgent.,Registrar Office
I would like to report that i need to report a maintenance concern,Maintenance Office
I would like to report that i want to process my fee payment,Cashier Office
"Good day, i cannot connect to the school internet",MIS Office
I need help with student service needs Thank you.,ISSC Office
I want to request my academic records I hope you can help.,Registrar Office
I want to use the laboratory for my computer needs This is urgent.,Internet Laboratory
"Hello, i need help with academic record management",Registrar Office
I need help with transcript processing,Registrar Office
I want to report a school-related problem This is urgent.,IMCO Office
"Hello, i need assistance with student id making",Internet Laboratory
I need help with repair request Please help me.,Maintenance Office
"Good day, i want to process payment transaction",Cashier Office
I need assistance with student service needs,ISSC Office
"Good day, i need assistance with computer usage",Internet Laboratory
I need assistance with room fixing This is affecting my studies.,Maintenance Office
I need help with school problem addressing Thank you.,IMCO Office
I need assistance with student service help This is urgent.,ISSC Office
I need help with transcript processing This is urgent.,Registrar Office
The room needs repair work,Maintenance Office
The network connection keeps dropping Thank you.,MIS Office
I want to report a room that needs fixing Please help me.,Maintenance Office
I need help with ISSC services,ISSC Office
I want to use a computer in the internet lab I hope you can help.,Internet Laboratory
I want to request assistance from ISSC This is affecting my studies.,ISSC Office
I want to request my student records I need assistance urgently.,Registrar Office
I need to file a petition for record correction I need assistance urgently.,Registrar Office
I want to report maintenance needed Thank you.,Maintenance Office
I need help with fee computation,Cashier Office
I want to use a computer in the lab This is urgent.,Internet Laboratory
The WiFi network is not working Please help me.,MIS Office
I need to request my official transcript This is affecting my studies.,Registrar Office
I need help with school concern management I need assistance urgently.,IMCO Office
I need help with subject loading Please help me.,Registrar Office
I need assistance with student ID creation process,Internet Laboratory
The room needs to be maintained I hope you can help.,Maintenance Office
I would like to report that i need help with school issue resolution,IMCO Office
"Hello, i want to report a concern that affects students",IMCO Office
I want to make payment for my requirements,Cashier Office
The room requires repair work I need assistance urgently.,Maintenance Office
I want to process payment for requirements This is urgent.,Cashier Office
I want to report a room repair needed I hope you can help.,Maintenance Office
"Hello, i need help with transcript processing",Registrar Office
I want to pay my school requirements I need assistance urgently.,Cashier Office
I need assistance with student ID processing Please help me.,Internet Laboratory
I need help with student assistance This is affecting my studies.,ISSC Office
I cannot access network resources This is urgent.,MIS Office
I need help with student service processing I hope you can help.,ISSC Office
I need assistance with school-related concerns I hope you can help.,IMCO Office
I would like to report that i need help with enrollment records,Registrar Office
I need assistance with student ID application This is affecting my studies.,Internet Laboratory
The internet speed is too slow This is affecting my studies.,MIS Office
"Hello, i need help with payment receipt",Cashier Office
"Good day, i need help with payment methods",Cashier Office
"Good day, i need help with school problem addressing",IMCO Office
I need to request room repair This is affecting my studies.,Maintenance Office
I need assistance with student ID application I hope you can help.,Internet Laboratory
I need help with school problem management This is urgent.,IMCO Office
I need to update my academic records This is affecting my studies.,Registrar Office
"Hello, i need help addressing a school problem",IMCO Office
I would like to report that i need to pay my fees,Cashier Office
I want to request for student ID creation Please help me.,Internet Laboratory
The network maintenance should be handled,MIS Office
I need help with payment verification This is urgent.,Cashier Office
I want to report a room repair needed This is affecting my studies.,Maintenance Office
I need to use a computer for my project I hope you can help.,Internet Laboratory
I want to inquire about student service information Thank you.,ISSC Office
I need assistance with room repair work This is affecting my studies.,Maintenance Office
"Hello, i need help with internet laboratory usage",Internet Laboratory
I would like to report that i want to report a room maintenance issue,Maintenance Office
I cannot connect to the network properly,MIS Office
"Hello, i cannot connect to the school internet",MIS Office
I need help with student record maintenance Thank you.,Registrar Office
"Good day, i want to use the internet laboratory",Internet Laboratory
I want to report an issue that needs school help Thank you.,IMCO Office
The room requires repair work I hope you can help.,Maintenance Office
I want to request maintenance service,Maintenance Office
I need assistance with network setup This is urgent.,MIS Office
I need help making my student ID I hope you can help.,Internet Laboratory
I need to pay my fees I hope you can help.,Cashier Office
"Hello, i cannot access the internet network",MIS Office
I need help troubleshooting network problems I need assistance urgently.,MIS Office
I need help with internet lab computer usage Please help me.,Internet Laboratory
I want to know about payment options I need assistance urgently.,Cashier Office
I would like to report that i need to request for student id processing,Internet Laboratory
I need to pay my tuition I hope you can help.,Cashier Office
I want to know about student service assistance Please help me.,ISSC Office
"Hello, the wifi connection is not stable",MIS Office
I want to verify my academic records This is urgent.,Registrar Office
I have an issue that needs dissemination This is urgent.,IMCO Office
"Hello, the room requires repair",Maintenance Office
I need assistance with maintenance work,Maintenance Office
I need assistance with student ID making I hope you can help.,Internet Laboratory
I need help with school concern reporting This is urgent.,IMCO Office
"Hello, i need help with school problem management",IMCO Office
I need help with network issues Thank you.,MIS Office
"Hello, i need help with school concern handling",IMCO Office
I want to process my fee payment This is urgent.,Cashier Office
I want to verify my student records This is affecting my studies.,Registrar Office
I want to report an issue that needs school help Thank you.,IMCO Office
I need to file a petition for course change,Registrar Office
I want to process my payment This is urgent.,Cashier Office
I need help with tuition payment Please help me.,Cashier Office
I want to pay my school requirements Please help me.,Cashier Office
"Hello, i need help with student information update",Registrar Office
I would like to report that i need help with room repair request,Maintenance Office
I need help with school concern resolution,IMCO Office
I need assistance with problem resolution This is affecting my studies.,IMCO Office
The WiFi network is down Please help me.,MIS Office
I would like to report that i need help with school concern resolution,IMCO Office
I would like to report that i need to pay for my subjects,Cashier Office
"Hello, i cannot access the school network",MIS Office
"Good day, i need help with internet lab computer access",Internet Laboratory
I need help with internet connectivity issues Please help me.,MIS Office
"Good day, i need to request for id card making",Internet Laboratory
I want to use a computer in the internet lab Please help me.,Internet Laboratory
I need help with school issue reporting I hope you can help.,IMCO Office
I need help with enrollment records This is affecting my studies.,Registrar Office
I need help with payment procedures This is urgent.,Cashier Office
I want to report a concern that affects students This is urgent.,IMCO Office
I need help with student record verification Thank you.,Registrar Office
I need assistance with student ID creation process Thank you.,Internet Laboratory
I want to request maintenance service This is urgent.,Maintenance Office
I have a concern about school dissemination Please help me.,IMCO Office
"Hello, i want to check my academic standing",Registrar Office
I need to pay for my enrollment requirements Please help me.,Cashier Office
I need help with payment confirmation This is urgent.,Cashier Office
I need to file a petition for grade reconsideration I hope you can help.,Registrar Office
I need to file a petition for grade reconsideration,Registrar Office
I need help with payment requirements This is affecting my studies.,Cashier Office
I want to use a computer in the internet lab This is affecting my studies.,Internet Laboratory
I need to report a room that needs repair I need assistance urgently.,Maintenance Office
"Good day, i need help with payment clearance",Cashier Office
"Good day, i want to process my payment requirements",Cashier Office
"Good day, i need to pay for my enrollment fees",Cashier Office
I want to request my academic records This is urgent.,Registrar Office
I need help with transcript processing I hope you can help.,Registrar Office
I need help with laboratory computer usage This is urgent.,Internet Laboratory
I need help with subject loading process,Registrar Office
I need to request room maintenance service Thank you.,Maintenance Office
I would like to report that i need help with grade record keeping,Registrar Office
I need assistance with student ID application I hope you can help.,Internet Laboratory
I cannot connect to the campus network This is affecting my studies.,MIS Office
I cannot access the internet in the computer lab,MIS Office
I want to make payment for enrollment This is urgent.,Cashier Office
"Good day, i need to request my academic transcript",Registrar Office
"Hello, i have a concern about school dissemination",IMCO Office
I need help with network connection,MIS Office
I want to check my transcript status Please help me.,Registrar Office
I need to request room repair I need assistance urgently.,Maintenance Office
I need to pay my school dues This is urgent.,Cashier Office
I cannot access online services due to network failure I hope you can help.,MIS Office
"Hello, i want to report a school problem",IMCO Office
I need assistance with repair request I hope you can help.,Maintenance Office
I want to request room maintenance This is urgent.,Maintenance Office
I would like to report that i need to pay for my registration,Cashier Office
I need to request my official transcript This is affecting my studies.,Registrar Office
"Hello, i want to request a transcript",Registrar Office
I want to process my fee payment Thank you.,Cashier Office
I want to request my student records I need assistance urgently.,Registrar Office
I need help with school concern reporting I need assistance urgently.,IMCO Office
I need help with payment inquiry I hope you can help.,Cashier Office
I need help with maintenance reporting,Maintenance Office
I want to know about student services I hope you can help.,ISSC Office
I would like to report that i want to make payment for requirements,Cashier Office
I need to use a computer in the laboratory I hope you can help.,Internet Laboratory
I want to use a computer in the internet lab Please help me.,Internet Laboratory
I want to request assistance from ISSC I hope you can help.,ISSC Office
I need help with laboratory computer reservation,Internet Laboratory
"Hello, i need help addressing a school problem",IMCO Office
The room requires repair and maintenance This is urgent.,Maintenance Office
I would like to report that i want to request for student id creation,Internet Laboratory
I want to report maintenance needed Please help me.,Maintenance Office
I want to report a maintenance issue Thank you.,Maintenance Office
"Good day, i want to request a transcript of records",Registrar Office
I would like to report that i need to use a computer in the laboratory,Internet Laboratory
"Hello, i need to pay my fees",Cashier Office
I would like to report that i need help with payment procedures,Cashier Office
"Good day, the internet connection is very slow",MIS Office
I need help with payment receipt This is affecting my studies.,Cashier Office
I would like to report that i need help with internet laboratory computer usage,Internet Laboratory
I need help with payment processing I hope you can help.,Cashier Office
I need help with course registration Please help me.,Registrar Office
"Good day, i need help with school concern management",IMCO Office
I cannot connect to the network properly This is urgent.,MIS Office
I need help with fee payment,Cashier Office
I need to request for student ID processing Please help me.,Internet Laboratory
The classroom needs repair Thank you.,Maintenance Office
I need help with payment processing and verification This is urgent.,Cashier Office
I need to update my grade records I need assistance urgently.,Registrar Office
I want to request a copy of my transcript I hope you can help.,Registrar Office
I need to update my academic records This is urgent.,Registrar Office
"Good day, the internet connection is very slow",MIS Office
I need help reporting a repair needed This is urgent.,Maintenance Office
I need to pay my tuition Please help me.,Cashier Office
I need to request for student ID card This is urgent.,Internet Laboratory
I want to process my fee payment Thank you.,Cashier Office
I need assistance with problem dissemination Thank you.,IMCO Office
I want to make payment for my requirements,Cashier Office
I need help with network access I hope you can help.,MIS Office
I would like to report that i need to pay my outstanding balance,Cashier Office
I want to inquire about student service information This is affecting my studies.,ISSC Office
I need help addressing a school problem This is urgent.,IMCO Office
I need to report a repair issue This is affecting my studies.,Maintenance Office
"Good day, i want to request a copy of my grades",Registrar Office
I need to file a petition for subject addition I hope you can help.,Registrar Office
I cannot connect to the school WiFi Please help me.,MIS Office
"Good day, i need help with student record verification",Registrar Office
"Hello, the network maintenance is affecting my work",MIS Office
I need help with ISSC services This is affecting my studies.,ISSC Office
I would like to report that the wifi network is down,MIS Office
I need help with laboratory computer usage This is affecting my studies.,Internet Laboratory
I need to pay my school payment I hope you can help.,Cashier Office
I need to file a petition for academic records Please help me.,Registrar Office
I need help with a school issue,IMCO Office
I need help with internet lab computer usage This is urgent.,Internet Laboratory
"Hello, i need help with grade verification",Registrar Office
"Hello, i need help with issc services",ISSC Office
